area,construction_type,region,cimento,areia,tijolos
153.2,residential,suburban,29.7,89.7,9.341
73.2,commercial,suburban,14.3,46.9,4.929
195.2,residential,suburban,41.5,111.1,12.48
49.7,residential,urban,10.1,26.0,2.832
219.5,residential,urban,45.6,126.3,13.04
27.5,commercial,urban,6.1,17.8,1.94
32.9,industrial,urban,7.1,20.9,2.848
5.5,commercial,suburban,1.1,3.2,0.432
158.8,residential,suburban,32.2,77.3,10.306
54.0,commercial,rural,11.6,27.9,3.958
26.0,residential,urban,5.7,16.4,1.771
26.4,residential,suburban,5.3,13.0,1.529
231.7,commercial,suburban,51.2,155.0,17.099
179.5,residential,rural,33.5,94.8,9.552
80.6,residential,urban,14.7,56.6,4.894
95.7,residential,suburban,17.9,63.4,6.113
64.3,residential,suburban,12.6,32.3,3.927
49.7,residential,suburban,9.4,29.5,2.866
247.1,residential,urban,45.7,128.6,16.898
13.4,residential,rural,2.7,9.5,0.729
54.2,residential,urban,11.0,37.1,3.075
42.2,commercial,rural,8.6,27.6,2.758
68.9,residential,suburban,14.9,40.7,4.229
61.2,industrial,urban,14.2,37.5,6.221
73.2,residential,urban,13.9,43.6,4.303
15.1,residential,suburban,2.9,9.0,0.949
72.0,residential,rural,15.5,37.3,3.946
27.8,residential,rural,6.1,14.1,1.66
20.4,commercial,rural,4.2,11.0,1.352
6.7,commercial,urban,1.5,4.4,0.475
143.8,commercial,urban,30.7,71.1,11.689
55.8,residential,suburban,11.3,40.1,3.073
98.5,residential,rural,19.5,59.8,5.446
130.0,residential,suburban,26.8,76.8,7.877
113.7,industrial,urban,27.3,71.3,11.42
63.6,industrial,rural,13.6,36.0,4.798
49.1,commercial,urban,10.6,23.8,3.408
47.2,residential,urban,10.0,31.7,2.662
102.2,industrial,rural,24.5,63.7,7.975
68.3,commercial,urban,14.6,36.4,4.723
189.1,residential,rural,40.7,96.1,10.288
207.7,residential,urban,43.3,146.3,11.919
18.7,residential,urban,3.9,11.9,1.114
14.6,residential,suburban,3.1,8.5,0.824
99.5,residential,urban,20.0,53.1,6.438
35.8,commercial,urban,7.1,24.5,2.799
1.9,residential,urban,0.4,1.0,0.111
219.5,residential,rural,42.1,120.9,12.48
25.7,residential,urban,5.6,12.8,1.76
264.9,residential,urban,49.1,144.3,16.128
126.4,residential,suburban,25.4,88.8,7.574
143.8,residential,urban,31.6,102.4,9.44
22.5,residential,rural,4.3,11.2,1.285
26.7,industrial,urban,5.4,14.9,2.532
73.7,industrial,rural,17.2,48.9,6.547
18.9,residential,rural,3.9,9.4,0.977
36.4,residential,urban,7.4,20.6,2.268
38.8,residential,rural,7.4,23.3,2.363
17.4,residential,urban,3.7,8.4,1.074
23.0,residential,urban,4.6,14.9,1.514
155.4,commercial,suburban,29.8,77.1,10.824
18.3,residential,suburban,3.8,9.7,1.117
2.9,residential,urban,0.5,1.6,0.198
99.3,residential,urban,18.0,60.3,5.706
372.9,commercial,urban,83.6,209.7,30.735
40.2,residential,urban,8.8,27.8,2.477
12.6,residential,urban,2.3,8.1,0.763
84.5,residential,urban,15.5,45.1,4.822
236.8,residential,suburban,49.2,163.7,13.227
153.3,commercial,suburban,33.8,96.5,11.839
97.4,residential,suburban,20.4,49.2,6.271
37.8,residential,suburban,7.8,23.4,2.303
78.1,residential,urban,14.1,53.9,5.296
9.6,commercial,urban,2.1,4.7,0.688
113.6,residential,rural,23.6,71.8,6.802
129.1,industrial,urban,27.7,97.2,13.148
335.3,commercial,rural,68.1,206.4,22.155
30.2,commercial,urban,5.8,20.0,2.19
1.9,commercial,suburban,0.4,1.0,0.139
78.9,residential,urban,14.8,40.0,5.402
122.7,commercial,rural,23.6,59.8,8.758
156.3,commercial,rural,36.1,98.6,11.607
21.5,residential,urban,4.2,14.2,1.39
30.3,residential,urban,6.5,16.7,1.707
71.9,residential,suburban,15.3,41.3,3.967
40.1,residential,rural,7.6,21.1,2.069
197.0,residential,urban,43.2,116.8,11.26
64.2,commercial,suburban,12.5,46.0,4.642
160.7,residential,suburban,33.0,95.2,9.189
86.9,commercial,urban,17.5,51.7,6.304
148.3,residential,rural,26.9,96.7,8.055
40.4,commercial,rural,8.2,28.0,2.54
178.0,commercial,suburban,40.6,119.0,12.904
32.1,residential,urban,6.6,20.0,2.068
79.0,residential,suburban,15.6,51.9,4.837
24.1,residential,suburban,4.9,16.9,1.412
64.5,residential,urban,14.1,32.2,4.419
38.3,residential,rural,7.0,20.2,2.035
31.0,industrial,suburban,7.2,19.9,2.49
341.1,residential,suburban,74.7,244.3,18.98
17.4,commercial,urban,3.4,11.0,1.27
154.8,residential,rural,30.2,92.8,9.292
414.6,commercial,urban,88.0,215.8,28.035
2.0,residential,urban,0.4,1.1,0.133
120.1,residential,rural,22.5,83.2,7.175
29.2,commercial,urban,6.6,18.6,2.011
4.1,residential,urban,0.8,2.1,0.246
51.6,residential,urban,10.1,26.0,3.435
273.7,commercial,suburban,56.0,157.0,19.981
1.2,residential,urban,0.3,0.7,0.076
88.6,residential,suburban,18.5,58.0,5.657
69.6,residential,suburban,14.7,34.7,4.066
206.7,residential,rural,38.6,112.7,11.272
8.8,residential,rural,1.6,4.8,0.518
114.4,commercial,urban,23.4,80.8,7.992
114.0,residential,rural,21.2,81.0,6.645
110.6,commercial,urban,21.9,53.3,8.676
285.3,residential,urban,51.4,170.1,18.319
173.2,commercial,urban,38.4,117.9,12.471
4.3,residential,rural,0.8,2.5,0.252
63.7,commercial,suburban,13.0,45.5,4.139
50.7,residential,urban,10.9,29.9,2.997
37.1,commercial,suburban,7.4,18.2,2.443
60.0,commercial,suburban,13.5,32.0,4.354
48.5,residential,urban,9.9,32.4,3.254
56.6,commercial,suburban,12.3,28.7,4.056
387.6,residential,rural,83.9,197.6,23.443
9.3,residential,urban,1.9,6.0,0.572
255.4,residential,urban,50.1,183.5,16.022
65.4,residential,suburban,12.6,41.5,3.931
97.7,commercial,rural,19.7,60.6,6.57
177.3,commercial,suburban,37.4,111.3,13.071
44.7,residential,urban,8.8,22.9,3.018
56.3,residential,urban,10.2,30.2,3.47
52.7,residential,urban,9.7,35.6,3.31
47.0,commercial,suburban,10.0,33.6,3.06
259.7,residential,urban,50.4,171.6,16.154
176.6,residential,urban,33.6,118.7,11.574
11.5,residential,suburban,2.5,7.6,0.704
11.4,industrial,urban,2.6,7.6,0.974
55.8,residential,suburban,10.7,39.5,3.328
10.4,commercial,urban,2.2,7.4,0.855
96.5,residential,urban,20.3,66.2,6.435
15.5,industrial,suburban,3.6,9.7,1.274
73.9,residential,suburban,16.2,48.8,4.495
1.0,residential,urban,0.2,0.6,0.063
38.1,residential,suburban,7.2,24.3,2.241
113.1,residential,suburban,20.5,54.9,6.281
66.2,residential,rural,14.6,33.8,3.819
382.9,residential,urban,79.3,268.2,23.822
207.2,residential,rural,42.7,126.2,10.757
44.5,commercial,urban,8.6,23.9,3.569
4.7,residential,urban,1.0,2.6,0.291
186.8,residential,urban,37.5,124.6,11.785
242.2,commercial,suburban,47.6,124.2,18.585
171.8,industrial,suburban,35.1,98.6,13.63
13.7,commercial,urban,2.9,9.6,0.994
500.0,residential,rural,95.9,322.8,30.134
29.9,commercial,urban,6.4,14.9,2.449
128.8,commercial,urban,29.2,66.3,8.953
238.6,residential,urban,51.0,169.7,15.933
26.9,residential,rural,5.1,15.3,1.365
238.9,residential,suburban,50.2,152.3,13.181
37.0,industrial,urban,7.9,26.6,3.314
374.7,commercial,urban,84.1,209.0,27.375
33.0,residential,suburban,6.1,17.8,1.774
306.7,residential,urban,60.3,162.6,19.756
5.5,commercial,urban,1.2,3.2,0.454
123.5,residential,urban,27.1,86.4,7.306
76.0,commercial,suburban,15.9,40.3,5.185
65.0,industrial,urban,14.8,41.5,5.897
25.3,industrial,suburban,5.0,17.6,2.296
122.3,commercial,suburban,26.6,60.7,8.504
21.2,residential,suburban,4.2,13.5,1.357
80.5,commercial,rural,15.6,49.4,5.84
29.2,commercial,suburban,6.1,14.6,2.045
311.5,residential,urban,66.2,155.8,21.199
2.9,residential,rural,0.6,1.7,0.172
22.3,residential,urban,4.6,11.1,1.497
27.7,commercial,urban,5.8,19.8,1.937
53.5,residential,urban,10.4,35.6,3.424
26.5,commercial,suburban,5.5,13.9,2.028
67.6,residential,urban,12.5,44.8,4.173
205.9,industrial,urban,48.0,126.2,18.293
124.5,residential,urban,23.5,83.5,7.958
86.7,residential,suburban,16.1,49.7,5.072
9.3,commercial,urban,1.9,5.3,0.635
118.4,commercial,urban,22.5,71.9,9.407
18.2,commercial,rural,3.7,10.3,1.263
154.3,commercial,urban,34.4,90.0,11.146
28.8,commercial,urban,6.1,13.8,2.326
54.0,commercial,urban,11.7,28.0,3.896
43.2,residential,urban,9.1,23.9,2.878
195.8,industrial,urban,41.2,114.6,17.324
13.5,residential,suburban,2.6,7.8,0.803
83.4,residential,suburban,17.6,48.8,5.06
15.3,residential,urban,3.2,7.5,0.942
122.0,residential,rural,25.7,82.4,6.976
235.5,residential,urban,43.6,124.6,13.555
57.0,residential,urban,10.8,28.9,3.452
67.0,commercial,suburban,14.2,32.9,4.922
262.3,commercial,urban,52.2,180.3,19.532
73.6,residential,urban,13.6,41.6,4.152
66.9,commercial,urban,14.2,44.0,4.535
86.4,residential,urban,18.4,49.7,5.02
116.9,residential,suburban,25.3,67.5,6.82
11.3,residential,urban,2.4,8.1,0.725
172.1,residential,suburban,35.2,119.8,10.128
57.2,commercial,urban,12.5,32.9,4.456
7.5,industrial,urban,1.8,4.4,0.708
154.3,commercial,urban,33.0,105.7,10.936
47.3,residential,urban,8.7,33.2,2.955
10.6,commercial,suburban,2.1,6.1,0.716
100.5,commercial,suburban,22.8,49.6,6.941
212.1,residential,urban,39.8,137.0,14.429
218.7,residential,urban,47.7,127.5,14.106
316.2,residential,rural,62.4,219.6,17.882
202.3,commercial,suburban,38.9,123.5,15.768
1.0,residential,suburban,0.2,0.5,0.064
47.8,residential,suburban,9.9,31.9,2.776
170.7,commercial,urban,35.4,106.3,13.335
45.6,commercial,urban,10.0,24.2,3.138
92.0,commercial,suburban,20.6,60.9,6.889
93.2,residential,suburban,18.4,56.4,5.991
45.4,residential,suburban,10.0,26.6,2.845
234.8,residential,rural,45.8,143.4,12.389
70.0,residential,rural,14.8,35.0,3.643
62.5,residential,rural,13.1,31.9,3.742
500.0,commercial,urban,112.8,296.1,34.241
68.0,commercial,suburban,13.6,37.6,5.312
19.6,industrial,urban,4.5,10.3,1.91
72.0,residential,urban,14.8,40.2,4.437
168.2,residential,urban,31.4,113.7,10.307
150.0,commercial,suburban,33.1,91.9,11.401
155.4,residential,suburban,28.5,96.8,8.429
123.1,commercial,suburban,25.0,81.9,8.59
29.3,residential,urban,6.2,15.8,1.895
198.1,residential,urban,37.2,112.7,11.602
223.9,commercial,urban,45.2,143.5,17.59
21.6,residential,urban,4.2,10.5,1.266
14.0,residential,urban,3.0,8.1,0.802
371.3,residential,rural,75.3,260.5,21.931
202.7,residential,urban,41.6,130.3,12.994
223.7,residential,rural,43.8,144.3,12.009
217.5,commercial,suburban,41.8,145.2,14.741
78.0,commercial,rural,16.6,50.4,5.808
104.0,commercial,urban,20.6,61.7,8.196
78.8,residential,suburban,17.2,44.3,4.597
5.3,industrial,suburban,1.1,3.3,0.491
136.8,residential,suburban,25.1,81.4,8.583
70.4,commercial,urban,14.8,37.3,4.909
104.3,residential,urban,21.8,70.9,6.255
69.8,residential,urban,14.3,43.5,4.511
67.7,residential,suburban,13.2,48.4,4.31
18.8,residential,suburban,3.5,9.7,1.155
32.7,industrial,suburban,7.0,23.3,2.943
17.3,commercial,urban,3.7,8.5,1.235
21.8,commercial,suburban,4.9,13.1,1.442
361.1,commercial,urban,73.1,203.6,28.731
16.6,residential,suburban,3.2,9.7,1.014
31.4,industrial,suburban,6.8,20.1,2.818
89.3,commercial,urban,19.0,59.1,7.31
94.2,residential,suburban,17.9,61.5,5.231
16.7,residential,rural,3.1,11.3,0.956
157.9,residential,suburban,33.9,96.0,9.797
153.8,residential,suburban,32.5,88.9,9.229
27.1,residential,urban,5.6,17.6,1.733
34.1,industrial,rural,7.5,19.0,2.94
278.0,commercial,rural,57.2,190.9,17.384
174.7,commercial,urban,33.8,98.6,12.18
119.7,commercial,urban,27.3,72.7,8.189
8.6,commercial,rural,1.7,5.5,0.63
54.2,residential,suburban,10.5,38.6,3.141
81.9,residential,urban,16.6,40.5,5.411
20.8,commercial,suburban,4.6,13.7,1.546
59.5,residential,urban,10.9,34.2,3.741
91.9,commercial,suburban,18.2,64.4,7.172
39.7,commercial,suburban,8.9,27.1,2.571
151.8,commercial,rural,33.4,75.5,10.372
183.5,residential,suburban,34.3,98.8,11.443
39.1,commercial,suburban,8.1,23.4,2.561
182.4,residential,suburban,39.2,95.4,10.24
10.9,commercial,urban,2.2,5.2,0.793
181.8,residential,urban,34.5,118.6,10.978
16.6,residential,suburban,3.2,8.6,0.94
8.7,commercial,urban,1.7,5.3,0.685
102.7,industrial,urban,22.1,63.1,9.697
63.9,residential,urban,13.4,42.0,3.977
238.5,residential,urban,51.5,133.6,13.741
45.1,commercial,rural,9.8,30.3,2.852
33.8,residential,urban,6.9,16.8,1.986
69.5,residential,urban,15.3,35.6,4.002
60.9,residential,urban,13.0,30.5,4.155
42.2,residential,urban,8.2,21.7,2.563
118.3,commercial,suburban,23.3,59.9,8.676
142.5,residential,urban,30.4,78.8,8.432
191.7,residential,urban,41.6,126.3,11.75
360.7,industrial,rural,82.2,230.5,30.126
31.0,residential,rural,5.6,19.5,1.871
125.9,residential,suburban,22.7,89.2,8.057
50.1,industrial,rural,11.6,31.7,4.22
113.0,residential,urban,20.9,78.5,6.693
64.6,residential,urban,13.3,36.3,4.024
500.0,residential,urban,109.8,315.0,32.037
130.5,residential,urban,27.8,77.8,8.477
304.7,commercial,suburban,64.6,184.5,22.05
180.2,residential,urban,36.9,99.1,12.288
233.2,commercial,suburban,46.0,161.3,16.16
168.4,residential,urban,31.5,100.0,11.417
61.5,commercial,suburban,11.7,40.7,3.989
29.0,commercial,urban,6.5,20.7,2.123
46.3,commercial,suburban,9.0,32.9,3.029
2.0,residential,suburban,0.4,1.2,0.123
74.2,residential,suburban,14.5,44.2,4.033
70.3,residential,urban,15.0,43.6,4.073
74.5,commercial,urban,17.0,51.2,5.957
365.1,residential,suburban,67.8,213.3,19.701
242.4,residential,rural,52.7,131.7,14.216
17.6,commercial,rural,3.4,10.2,1.149
46.0,residential,rural,8.3,28.6,2.571
55.2,residential,rural,10.9,30.5,3.132
44.7,residential,urban,8.9,27.3,2.924
160.2,residential,suburban,29.2,82.8,8.829
74.2,commercial,suburban,15.7,42.6,4.871
84.9,commercial,suburban,16.6,50.9,6.34
191.7,residential,suburban,39.2,102.7,11.788
164.0,residential,rural,33.9,100.6,9.874
14.2,industrial,urban,3.0,9.4,1.372
125.1,residential,urban,24.4,74.2,7.762
57.2,commercial,urban,10.9,32.0,4.099
34.9,residential,urban,7.0,24.5,2.365
5.1,residential,urban,1.0,3.4,0.314
66.8,industrial,urban,13.6,48.5,6.849
43.9,commercial,urban,8.5,22.8,2.989
29.0,residential,rural,5.9,14.9,1.724
118.6,residential,urban,22.4,70.6,7.594
146.7,commercial,suburban,29.1,94.0,10.681
28.1,residential,rural,5.6,20.0,1.486
5.1,residential,suburban,1.0,3.2,0.32
188.9,residential,urban,39.1,102.8,12.716
1.0,residential,suburban,0.2,0.6,0.06
276.6,commercial,urban,52.6,168.8,19.227
98.8,residential,suburban,18.8,70.0,6.084
38.8,residential,suburban,7.9,22.5,2.313
28.3,residential,urban,5.1,17.7,1.734
1.0,residential,suburban,0.2,0.6,0.065
26.8,commercial,urban,5.4,16.0,2.14
14.8,residential,urban,3.1,9.0,0.975
94.7,residential,urban,18.8,57.2,5.726
18.2,residential,rural,3.9,10.1,1.074
75.2,industrial,urban,16.9,50.8,7.421
89.2,residential,urban,16.9,57.3,5.736
35.4,residential,suburban,6.7,21.0,1.99
3.6,industrial,suburban,0.9,2.5,0.299
3.8,commercial,suburban,0.8,2.3,0.27
2.7,residential,urban,0.6,1.7,0.153
134.4,residential,rural,26.0,90.4,7.9
38.3,residential,urban,7.6,25.9,2.204
159.1,residential,rural,32.5,101.7,8.259
56.5,commercial,rural,12.1,37.3,3.736
60.3,industrial,suburban,12.6,36.3,5.8
71.9,commercial,urban,16.3,45.4,5.833
124.8,commercial,rural,25.1,71.5,8.775
32.0,residential,urban,5.9,18.2,2.071
13.0,residential,suburban,2.8,7.7,0.839
81.2,residential,rural,15.8,54.0,4.834
39.6,residential,urban,8.3,24.8,2.594
58.4,commercial,urban,11.9,32.3,4.565
104.1,commercial,urban,22.1,60.0,7.349
68.1,commercial,urban,13.7,38.0,5.309
96.8,residential,urban,17.8,56.8,5.815
78.6,residential,urban,16.5,43.1,4.855
134.6,residential,urban,27.9,90.2,7.851
122.4,commercial,rural,24.7,67.4,9.015
76.4,commercial,urban,16.4,41.9,5.233
113.6,residential,urban,22.9,75.8,7.296
206.8,residential,rural,45.0,120.6,11.48
56.6,residential,urban,12.2,31.2,3.335
53.2,residential,rural,11.5,27.3,2.873
144.5,residential,suburban,31.7,82.0,9.366
87.4,residential,urban,18.1,52.9,5.68
7.4,residential,suburban,1.6,4.9,0.478
222.7,residential,rural,43.8,107.5,12.471
3.1,residential,suburban,0.6,1.8,0.196
138.0,residential,rural,25.9,66.4,7.094
142.2,residential,urban,25.8,92.5,9.748
306.0,residential,suburban,62.4,187.4,17.064
5.6,residential,urban,1.2,3.1,0.371
90.8,residential,urban,18.9,57.0,5.581
55.8,residential,suburban,10.5,38.7,3.025
40.1,residential,rural,7.8,25.5,2.159
9.5,residential,urban,1.8,6.7,0.637
82.7,commercial,urban,17.9,40.2,6.233
65.2,commercial,suburban,13.1,37.7,5.006
11.0,commercial,urban,2.5,6.5,0.817
94.8,residential,rural,20.6,61.0,5.301
133.9,commercial,urban,26.4,92.6,9.802
145.8,industrial,suburban,33.3,88.8,12.906
235.8,industrial,urban,53.4,157.1,23.85
52.7,residential,urban,10.2,28.3,3.076
305.9,commercial,rural,63.1,204.1,21.969
200.6,residential,urban,42.3,101.6,11.327
35.2,residential,urban,7.7,19.4,2.152
17.4,commercial,urban,3.9,11.5,1.327
57.2,commercial,rural,12.9,38.8,4.082
51.4,commercial,urban,11.8,34.7,3.871
85.7,industrial,suburban,18.4,55.3,6.873
87.6,commercial,rural,18.4,43.7,6.432
138.6,residential,urban,29.5,94.6,8.733
71.3,residential,rural,14.3,44.1,4.284
11.1,residential,urban,2.4,7.3,0.719
195.4,commercial,suburban,37.3,117.9,12.702
37.1,residential,suburban,8.0,21.6,2.015
355.1,commercial,urban,71.7,186.8,27.8
12.5,industrial,urban,2.8,8.2,1.245
317.6,residential,urban,60.6,195.4,18.718
9.5,residential,urban,2.0,6.3,0.553
26.3,residential,urban,5.7,17.3,1.519
4.8,commercial,suburban,1.0,2.4,0.375
122.1,commercial,rural,27.7,61.8,8.187
189.9,commercial,rural,42.2,105.7,12.219
56.9,commercial,urban,11.8,35.4,4.657
263.8,industrial,urban,62.5,178.1,26.348
89.2,residential,suburban,17.6,43.2,5.533
99.4,residential,urban,19.4,47.9,6.34
186.7,residential,urban,34.4,127.8,12.516
35.2,commercial,urban,7.9,22.9,2.448
43.7,commercial,suburban,9.1,26.3,3.078
236.4,residential,urban,49.1,150.1,13.512
231.2,residential,urban,44.8,156.7,14.99
375.0,industrial,urban,86.6,277.0,38.014
232.1,residential,urban,49.2,129.4,14.931
13.6,commercial,suburban,2.8,9.7,1.074
173.6,residential,suburban,31.7,94.9,10.693
52.7,residential,suburban,10.5,29.2,3.204
468.9,commercial,rural,90.9,329.1,33.933
63.9,industrial,urban,13.4,45.0,6.334
80.7,residential,urban,16.6,50.2,5.364
75.5,residential,rural,16.2,37.8,4.016
38.8,commercial,rural,7.9,22.3,2.404
7.8,residential,urban,1.5,5.4,0.453
226.0,residential,suburban,41.0,158.2,13.549
162.3,residential,urban,31.3,88.4,9.396
15.0,residential,suburban,3.1,10.0,0.961
150.0,industrial,urban,36.3,92.7,14.358
98.3,commercial,suburban,21.4,70.7,6.913
52.6,residential,suburban,11.4,37.6,3.283
29.3,commercial,urban,6.3,19.5,2.29
196.4,commercial,suburban,38.7,112.8,13.852
120.5,industrial,urban,27.5,73.4,10.648
79.3,residential,urban,14.8,45.9,4.685
94.1,residential,rural,17.5,50.3,5.815
9.5,commercial,rural,1.9,5.4,0.69
64.2,commercial,urban,14.5,33.7,4.674
21.5,commercial,urban,4.6,13.7,1.606
23.4,residential,suburban,4.2,15.8,1.253
108.3,commercial,urban,24.7,76.0,8.689
242.2,commercial,rural,55.2,169.1,15.573
51.7,residential,urban,9.4,30.0,3.485
23.3,residential,urban,4.6,14.4,1.402
104.6,residential,urban,21.9,63.9,5.897
204.9,residential,urban,41.6,110.5,12.483
138.0,commercial,suburban,28.6,82.6,9.696
203.1,residential,urban,43.4,128.8,12.106
76.9,residential,suburban,14.2,46.7,4.92
139.4,industrial,rural,28.4,83.8,10.338
15.1,commercial,suburban,2.9,8.8,1.073
42.8,residential,rural,9.3,21.7,2.483
49.4,commercial,rural,9.4,30.9,3.622
71.6,residential,urban,15.4,37.8,4.656
264.6,industrial,urban,63.9,176.4,24.179
207.4,residential,rural,44.2,145.7,11.868
14.4,commercial,suburban,3.0,9.2,1.045
19.0,industrial,rural,3.8,12.7,1.458
44.3,residential,rural,9.0,25.9,2.538
34.4,commercial,rural,7.5,22.1,2.274
95.4,industrial,urban,20.0,48.1,8.404
233.1,industrial,suburban,48.6,136.0,21.54
327.8,commercial,rural,75.5,209.1,21.888
106.0,commercial,urban,24.0,69.3,8.586
182.1,residential,suburban,38.8,126.0,11.837
74.5,residential,urban,15.2,39.2,4.882
23.4,residential,rural,4.7,14.2,1.367
74.4,residential,urban,15.4,53.3,4.398
81.0,residential,urban,16.3,39.5,5.099
135.7,commercial,urban,25.8,96.8,9.665
24.8,residential,rural,5.4,14.7,1.516
45.9,residential,urban,9.8,23.5,2.943
45.3,commercial,suburban,9.0,32.2,3.405
320.5,commercial,suburban,61.1,181.9,24.893
58.7,residential,urban,12.7,38.6,3.703
140.7,commercial,urban,27.3,91.0,9.945
139.0,commercial,rural,28.7,69.3,9.069
30.9,commercial,suburban,6.7,15.4,2.254
84.8,residential,urban,17.9,42.8,4.814
224.7,industrial,suburban,46.2,129.7,18.089
64.5,residential,urban,13.6,31.0,3.796
290.3,commercial,urban,63.5,155.4,21.102
24.1,commercial,suburban,5.3,11.7,1.57
7.7,industrial,urban,1.8,5.2,0.783
222.1,industrial,urban,50.3,118.1,22.536
188.2,residential,urban,35.3,108.2,10.664
490.5,residential,suburban,91.4,249.8,28.125
113.8,residential,urban,24.9,70.7,7.018
276.0,industrial,urban,63.8,162.6,25.478
175.4,commercial,suburban,39.5,94.3,12.954
186.1,industrial,urban,40.1,122.8,15.759
84.2,residential,urban,17.7,60.4,5.135
48.2,residential,suburban,9.2,25.4,2.93
272.7,residential,urban,57.7,158.8,16.37
56.6,residential,suburban,10.2,31.5,3.026
77.4,commercial,suburban,17.0,47.3,5.508
59.1,commercial,suburban,11.8,34.8,4.248
83.2,industrial,rural,16.9,51.9,7.356
63.6,residential,rural,13.9,37.0,3.718
4.9,residential,urban,1.0,2.7,0.335
213.7,residential,urban,44.2,152.8,12.116
58.8,residential,urban,11.5,38.3,3.518
88.9,residential,rural,17.7,63.3,4.738
15.0,commercial,suburban,2.9,10.1,1.017
1.0,residential,suburban,0.2,0.5,0.059
28.1,residential,suburban,5.4,17.8,1.74
121.9,industrial,rural,26.0,86.8,9.982
10.4,industrial,urban,2.5,7.0,1.051
239.6,commercial,rural,53.2,171.5,16.514
24.2,residential,rural,4.7,12.6,1.343
22.9,residential,urban,4.7,12.2,1.377
20.0,residential,suburban,3.9,13.2,1.143
1.4,residential,urban,0.3,0.8,0.083
147.8,residential,urban,30.5,93.2,9.204
208.0,residential,urban,37.5,108.6,12.619
95.2,commercial,rural,20.7,55.9,6.978
20.9,commercial,suburban,4.6,13.0,1.509
33.6,residential,suburban,7.0,23.6,2.026
64.6,commercial,urban,14.1,45.9,5.157
308.7,residential,urban,57.1,169.8,17.99
28.4,commercial,suburban,6.5,17.7,2.231
131.5,residential,urban,24.2,90.4,7.78
57.9,commercial,urban,11.4,33.6,4.601
35.4,residential,suburban,6.6,21.9,1.952
60.9,residential,urban,12.6,36.4,3.581
7.4,commercial,urban,1.5,3.7,0.608
160.3,residential,suburban,29.3,79.4,9.201
27.9,residential,suburban,5.4,15.4,1.705
129.2,residential,urban,24.4,63.4,7.427
7.1,commercial,urban,1.5,4.0,0.586
310.3,commercial,urban,64.8,214.5,22.37
21.4,commercial,urban,4.8,14.1,1.662
214.3,commercial,suburban,49.4,111.9,16.085
165.8,industrial,suburban,39.9,103.1,14.76
343.8,industrial,urban,76.6,236.6,34.385
65.0,residential,rural,12.4,31.4,3.537
130.0,commercial,rural,27.6,69.8,9.446
46.3,commercial,urban,10.0,27.0,3.66
20.4,residential,suburban,4.2,11.5,1.238
58.5,commercial,urban,13.4,30.1,4.055
18.1,commercial,urban,3.7,11.5,1.424
402.0,residential,rural,77.9,244.4,20.67
10.1,residential,rural,2.2,5.8,0.59
89.0,residential,urban,16.7,57.7,6.1
98.5,industrial,suburban,22.4,69.9,8.38
77.2,residential,urban,15.7,52.1,4.653
108.5,commercial,suburban,24.0,70.5,7.575
12.4,commercial,urban,2.8,7.1,0.984
81.0,residential,urban,17.1,58.0,4.807
33.9,commercial,suburban,7.2,23.4,2.45
281.6,residential,suburban,56.1,181.4,15.199
143.6,commercial,urban,31.2,79.3,10.561
359.4,residential,urban,67.5,193.9,20.245
3.8,residential,rural,0.8,2.4,0.219
33.6,residential,urban,6.1,22.7,2.088
21.7,commercial,suburban,4.4,13.6,1.587
1.1,commercial,suburban,0.3,0.6,0.086
27.8,residential,suburban,6.1,13.6,1.648
113.6,residential,suburban,21.7,60.5,6.629
26.3,commercial,urban,5.8,18.9,1.872
71.1,residential,rural,15.4,49.8,4.303
218.8,residential,suburban,41.4,144.4,13.979
118.3,industrial,urban,25.1,88.9,11.879
50.2,commercial,urban,9.8,32.1,3.528
46.6,residential,urban,9.8,27.3,2.661
60.8,residential,urban,12.3,32.2,3.789
19.5,residential,urban,4.2,10.6,1.217
100.5,residential,urban,20.9,48.9,6.227
45.3,residential,suburban,9.4,29.9,2.554
191.3,residential,urban,35.7,130.8,12.93
141.3,industrial,rural,30.0,73.5,12.003
94.3,residential,urban,18.8,64.6,6.361
45.3,commercial,urban,8.6,31.9,3.077
23.6,industrial,suburban,5.6,16.1,1.891
149.7,commercial,urban,33.2,102.6,11.444
66.6,residential,rural,13.7,39.2,3.388
25.5,residential,suburban,4.6,12.4,1.624
21.7,commercial,urban,4.4,10.6,1.668
18.1,commercial,urban,3.7,10.7,1.323
150.1,commercial,suburban,34.4,88.8,10.476
26.0,residential,rural,5.2,15.8,1.378
74.8,commercial,urban,15.0,45.6,5.274
60.1,residential,suburban,11.5,39.4,3.904
86.7,residential,urban,18.5,50.3,5.414
209.7,residential,rural,38.5,102.5,11.003
202.3,commercial,suburban,40.8,108.6,13.971
60.0,residential,urban,11.7,40.6,4.068
1.5,commercial,suburban,0.3,0.8,0.098
55.6,commercial,urban,11.4,35.3,3.938
93.2,commercial,urban,21.4,52.1,6.737
81.6,residential,urban,15.2,54.9,4.627
105.4,commercial,suburban,20.6,57.0,7.865
16.7,commercial,urban,3.7,8.3,1.274
104.0,residential,rural,22.5,58.4,5.666
20.2,industrial,rural,4.4,12.0,1.657
138.8,residential,urban,28.0,87.9,7.848
41.4,commercial,urban,8.7,24.4,2.797
123.8,commercial,suburban,24.2,76.2,8.405
